date,ratings,helpful,comment
2020-11-09,3,0,"아이폰인데 안되요... 
뭔 처음만 들어가지고..
iOS13.5.1"
2020-10-20,1,0,"첫화면에 멈춰서 실행이 안되요. 
아이폰6. 어이폰se 둘다 안되네..."
2020-10-11,1,0,앱 잘 쓰다가 갑자기 실행이 아예 안돼요. 안 된지 엄청 오래됐는데 왜 아직도 조치를 안 하나요
2020-10-11,1,0,"예전에도 그래서 지웠는데 여전하네요
앱 설치후 처음에는 시행되는데 두번째부터는 맨 처음
노란 화면에서 안 넘어가요
같은 리뷰도 있던데 아직도 개선이 안 되나요?
편의성 문제 수준이 아니라 아예 실행이 안 되는 문제인데도요
iphone xr입니다"
2020-09-27,2,0,"아이폰 튕김문제
월세 매물 중 실제 내부 사진이 없는 매물이 많음
내부 구조를 미리 알 수 있는 평면도가 제공 되었으면 좋겠음
원룸 검색시 주방이 분리된 분리형 원룸 또는 1.5룸이 있었으면 함"
2020-09-20,1,0,안열려요 한달넘음 ㅡㅡ
2020-09-05,1,0,"앱을 실행하면
노란색 첫화면에서 멈춰서
다음 단계로 안넘어갑니다
아이폰XR기종입니다"
2020-08-26,1,0,"아이폰 11S 유저인데요
어느순간부터 한 이주째 실행이 아예 안됩니다
노란 화면에서 멈춰있어요 ㅠㅠ"
2020-08-24,1,0,아이폰유저인데 메인화면만 켜지고 매물검색해서 돌리면 넌춰서 움직이지도 않습니다.
2020-08-17,1,0,아이폰 앱실행이 안되네요... 계속 불안불안 하더니
2020-08-16,1,0,앱이 실행이 않됩니다 아이폰인데 평소 잘 사용했는데 무슨문제가 있는건가요??
2020-08-15,2,0,아이폰8유저입니다. 1-2주째 메인화면에서 멈춰있네요.
2020-08-14,2,0,"어느 순간부터 앱 실행이 되지 않습니다
첫 화면만 떠있고 거기에서 아무것도 되지 않네요
아이폰11pro입니다"
2020-08-14,1,0,어플 작동이 안되네요
2020-08-13,1,0,예전부터 개선 한다고 말만하고 개선 할 생각이 없나보네.. 그럴거면 앱 서비스를 중단 하던가. 뭐하는 짓이지?
2020-08-13,1,0,"아이폰MS 맥스 사용자입니다.
아이폰 운용를 최신번전으로 업데이트 후 앱 실행이 안됩니다. 한번 확인해보시고 조치를 취해주십시오."
2020-08-12,1,0,아이폰에서 실행이 안되는 문제가 계속 방생하는거 같은데 개선이 안되내요.  조속히 조치 바랍니다.
2020-08-12,1,0,아이폰6s인데 실행이 안 됩니다.
2020-08-11,1,0,아이폰 유저입니다 앱이 열리지 않아요
2020-08-11,3,0,카카오톡으로 로그인이 안되네요
2020-07-27,1,0,iPhone SE/ios 13.3.1
2020-07-20,2,0,"아이패드6세대 사용하고 있고 와이파이 환경인데
앱이 너어~~~~~~~~~~~~~~~~~~무 느립니다
3G쓰는거 같아요,,,"
2020-06-25,5,0,다른 부동산 앱들도 같이쓰고 있는데 시세보기는 좋네요~
2020-06-23,1,0,안 된다고
2020-06-22,1,0,아이폰에서 실행이 아예 안됩니다...
2020-06-21,2,0,속도가 이렇게 느려도 될까요...개선 신속히 부탁드립니다
2020-05-24,1,0,돈 지불해야된다는 내용을 쉽게 찾아볼 수 없었고 내용이 무얼까 궁금해 클릭했는데 결재됐다고 내용이 뜨네요. 환불절차 부탁드립니다.
2020-05-19,3,0,"시세 반영이 안맞는거 같은데 업데이트가
되기는 하는건가요 ?"
2020-05-12,2,0,"무료라서 사용하기는 하는데, 느려서 답답해요

- 상권분석 화면에 들어가면 화면을 닫을수 가 없어요"
2020-04-26,2,0,--
2020-04-25,1,0,"Kb 이름에 먹칠하는 앱
설정 바꾸고 검색하면 렉걸리고, 지역 이동하면 또 렉걸리고, 설정 변경하면 매물 안보이는 사태까지 가지가지~~!!!!!
인터넷 앱에서 바로 안보이고 꼭 앱을 사용하게끔 해서 더 스트레스~~!!!
네이버 부동산처럼 빨리빨리 잘 좀 되게 해주세요!!
잘하는 건 좀 보고 배워서 고쳐주세요!!"
2020-04-24,5,0,"일단 앱은 만족하기에 별5 누릅니다
아이폰X 사용 중 앱 구동 시 초기 로딩화면에 계속 멈춰있습니다."
2020-03-12,1,0,업데이트를 해도 계속 튕겨나가고 어플 자체가 안켜져요
2020-03-03,4,0,"지도 검색할 때 검색 매물 옵션으로 줘도

매물이 안나올때가 많습니다...... 매물이 나오는경우보다 안나오는 경우가 많네요

이럴때마다 옵션 중 하나를 살짝 변경했다가 다시 변경하면 또 나오고 매물 하나 보고 다시 지도로 돌아오면 매물 또 하나도 안나오고........ 너무 불편하네요 ㅠㅠㅠㅠ

수정 좀 부탁드립니다"
2020-02-28,2,0,"아이폰 유저인데 매물목록 클릭했다가 지도로 돌아가면 매물목록이 사라집니다.
그리고 로딩도 매화면 너무 느리고 지도이동도 버벅거려요;_;
웹사이트도 엄청 느리던데 개선하면 좋을것 같습니다. 보기 너무 어려움."
2020-02-25,2,0,"주변 안드로이드 폰은 앱 페이지로 들어가던데
아이폰은 분양 누르면 웹 페이지로 들어가서 종료를 하려면 두개를 종료해야해서 불편해요
아이폰도 앱 내부에서 작동하면 좋겠어요."
2020-02-06,1,0,앱실행안됨
2020-01-10,3,3,"아이폰 유저입니다. 
이 앱은 내용은 충실하고 신뢰가 가는데... 종종 앱 구동이 안됩니다. 실행하려고 누르면 노란색 첫화면에서 계속 멈춰있습니다. 혹시나 해서 폰을 껏다 켜봐도 동일합니다. 이런 경우가 종종 있다보니... 앱을 실행하려다가도 또 안열리고 멈춰있을까봐... 걱정돼서 자주 망설여집니다. 조속히 개선해주시길 바랍니다."
2019-12-08,1,0,이게 뭔가요..
2019-10-04,1,0,"네이버 부동산하고 시세가 8000이 나요
전혀 관리 안하고 있는 느낌을 받아요 집주인은 이렇게 잘 못된 정보로 올려 받을려고 하겠죠  수정을 하던지 없애던가"
2019-07-30,5,0,"급변하는 금융시장에 새로운 도전 칭찬합니다! 
앞으로 국민모두의 국민은행이 되세요!!"
2019-04-28,3,0,위젯에 줄겨찾기해놓은 아파트 가격이 샤로고침이 안됩니다. 이거 반영할려몀 위젯없애고 즐겨찾기 풀엇다가 다시 즐겨찾기 해서 위젯 등록해야됩니다. 걍 새로고침좀 되게해주세요
2019-04-28,1,0,클릭할때마다 계속 꺼지는데 5번까지 참다 그냥 지우려구요
2019-02-17,1,0,"어플이 아예 시작도 되지 않습니다
업데이트 해주세요"
2019-02-14,5,0,"이번에 취업 성공했는데 다른 지역이라 3월까지 지내야 할 곳을 찾는 중이었는데 제가 항상 이용하는 국민은행에서 새 앱이 나왔다고해서 그냥 믿고 깔았네요 다른 집 알아보는 어플이랑은 매물량, 가독성 등 확연하게 다르네요 ㅠ 좋은 어플 만들어주셔서 감사해요!"
2019-02-13,5,0,"스타벅스 커피 증정 이벤트 참여했는데
상시 지급이라던데 언제 증정되나요~?"
2019-02-05,5,0,원하는 매물의 부동산 시세를 언제나 볼 수 있어서 젛네요. 주변 매물의 평균 시세도 바로바로 볼 수 있어서 좋고요.
2019-02-01,4,0,부동산과 관련된 내용들이 총망라되어 있는거 같아요. 단지 정보도 쉽게 파악하고 너무 좋네요. 앞으로 더 좋은 기능들이 포함되었으면 좋겠습니다. 대박!!!
2019-01-17,5,0,풍부한 콘텐츠가 구성되길 바랍니다~
2019-01-16,5,0,이번 업데이트 이후 디자인 훨씬 깔끔해지고 기능도 더 많이 추가됐네요!!! 집 내놓아야하는데 리브온 통해서 하면 될 것같아요
2019-01-16,5,2,역시 KB! 기능들이 쉽고 간편하게 사용할수 있어서 너무 마음에 드네요~
2019-01-16,5,0,새로바뀐 화면이 정말 깔끔하니 이쁘네요~ 이사 예정인데 요기서 검색해봐야겠어요~~!!
2019-01-16,5,0,시세 보려고 들락날락 많이 하는데 디자인도 깔끔하고 보기 좋아요~!
2019-01-16,5,0,"부동산 뉴스, 단지정보 등 풍부한 내용
매물도 예전보다 많아진 듯
그러나 속도는 여전히 느림(특히 지도)"
2019-01-16,5,0,부동산 관심 많아 관련앱 다 보고 있는데 리브온이 젤 깔끔하네요.
2019-01-16,5,0,업데이트 이후에 좋은 자료들도 많이 올라오고 더 풍성해졌네요!!
2019-01-10,1,0,"업데이트 다 했는데 계속 업데이트 하라고 나옵니다. 
그리고 암것도 안되요."
