date,ratings,helpful,comment
2020-11-08,5,4,"매매,전세,월세 가격이 표시되면 훨씬더 좋을것같습니다~~"
2020-09-28,1,32,앱 UX 최악. 시세조회때문에 어쩔 수 없이 쓰지만 쓸 일 없어지면 바로 삭제 하고 싶음.
2020-08-26,1,33,"전혀 개선이 안되는데, 사용도 안해보는건가? 최소한 조회결과에 대해 추천순이든 낮은가격순이든 정렬선택했으면 계속 유지되어야하는게 기본 아닌가? 조회결과가 한두페이지도 아니고 여러페이지로 나오는데, 매물한번 보고나오면 리셋되어버리니, 몇페이지의 몇번째매물까지 다기억했다가 다시 정렬선택해서 거기까지 찾아간후 그다음부터 보라는건가?"
2020-10-12,1,2,응답코드 오류만 나와요 ㅠ
2020-08-30,1,14,와... 너무 느려요. 게다가 조회도 gui 스레드에서 해서 화면에 anr 걸리고 난리네요. 사용을 할 수가 없어요. 개발사가 도망갔나요? 차라리 저희 회사랑 일 한번 해보시죠. 이거 납품한 회사 진짜 양심 가출한 개발사네 어휴.
2020-10-10,1,2,실행도 안됨. 1인 개발 인디 앱도 이것보단 낫겠다. 보나마나 싸구려 외주주고 유지보수 나몰라라 하겠지. 이따구니 카뱅한테 밀리지
2020-05-26,1,48,교통소요시간 있는줄 알고 설치했는데 없어졌네요 이 좋은기능 왜 없앴나요? 복구시켜주세요 사용률이 낮아 없앴다고 답변을 봤는데 홍보가 부족해서 그런듯 한데요 알았으면 진작부터 사용했지요
2020-06-20,3,32,매물.시세검색할때 자꾸멈춰요..엄청느린건지 멈춘건지... 잘될때잇고 안될때잇구 그렇네요ㅠ분양목록에서는 선택하고 다시 뒤로넘기면 아예또메인으로넘어가서 다시찾아들어가야하는 번거로움이 잇네요
2020-07-12,1,32,깔고 2분 써보고 삭제합니다. 지도에서 찾기 하는데 해볼까하면 자꾸 멈추네요 테스트도 안해보고 앱 출시하나요? 요즘같이 어플 넘쳐나는 시대에 이렇게 답답하게 구동되면 누가 냅두나요 고민없이 지우지 네이버부동산이 낫겠어요.
2020-08-28,1,1,종합부동산세금 계산식이 잘 못 되어 있습니다. 규제지역 2주택 경우 두배 이상 나옵니다. 은행에서 운영하는 싸이트도 믿을 수 없군요.
