date,ratings,helpful,comment
2020-11-16,1,0,이걸 어뜨케 쓰지..
2020-11-09,1,0,이 앱 국민은행이 만든거 맞아요?? 공인인증서로 연동했는데 다른 금융사 정보 하나도 못가져 오는데.. 혹시 국민은행 사칭하는 앱???
2020-11-06,1,0,화면에 있는 승인번호를 아무리 눌러도 잘못된 번호라 계속 오류나네요 수정좀 해주세요
2020-11-02,4,0,"해외주식도 같이 볼수있게 해주세요
Please"
2020-10-29,1,0,국민은행 앱들 다 좋은데 그걸 하나로 합치면 안 될까요 정말 불편합니다 ... 스타뱅킹/국민카드/마이머니/KB페이/스타알림/리브메이트/통합인증 제가 갖고 있는 것만 해도 7개 입니다... 오랫동안 국민은행을 쓰고 있지만 뭐 할 때마다 다운 받으라는 건 좀 질립니다 갈아타고 싶어집니다 ... 제발 하나로만 합쳐 주세요.....
2020-09-27,5,0,"기업은행을 오픈뱅킹으로 가져왔는데
소비내역이 다 이체내역으로 되어있어요
이걸 수정할 수 있는 방법 없나요?"
2020-09-07,1,0,"임원들이 정신을 못차리나봐요
이 어플 저 어플 많기로 유명해서 욕 먹는 것도 모르는지
어쩜 이렇게 매번 새로운 어플들을 출시하는지 대단~~~!!
계좌이체도 제일 구리고 주거래 10년 이상 썼는데
이직해서 다른 은행 계좌 텄다가 신세계였네욤
전 곧 갈아탈랍니다~~~"
2020-09-02,4,0,은행은 국민은행이랑 카카오뱅크 두 개 쓰는데 등록이 안되네요.... 반쪽짜리 자산 정보라 개선되기 전까지 당분간은 그냥 저냥 쓸 듯.
2020-09-01,1,0,"이벤트 문자가 와서, 가입하면 스타벅스 쿠폰 준다는데 꼬여서 가입. 

로그인 설정을 간편 비밀번호로 바꿀수록 있다고 나오길래, ARS로 휴대폰 본인 인증까지하고 저장까지 했다. 

종료 시킨후, 다시 앱을켜니 공인인증서로 로그인 하는걸로 되어있고, 메뉴에도 간편 비밀번호는 없네.

결론: 앱을 만들고, 이벤트하면서 가입자 유치하면 뭐하나 제대로 돌아가질않네.... 쿠폰 나오면 그 이후로 지울 계획. 다른 이에게도 지우라고 권장합니다."
2020-08-27,1,0,"공인인증서 로그인할때마다 
우측 하단 확인버튼인지알고 계속 누르게되는데 비번 쓴거 다 삭제됨여 ㅡㅡ
스뱅은 안그러는데 마이머니만 그래여 빨리 고쳐주세여 앱만 늘리지말고 수정점여 앱많아도 다 안씀;;;"
2020-08-17,3,0,"금융권 자동 연결만 개선되면 아주 좋을 것 같네요 ~

그리고 금융 자산에 은행이랑 보험사란 분리 되면 좋을 것 같고요 ~ 대출 추가기관에 한국주택금융공사도 추가 되었으면 좋겠습니다. 디딤돌 많이들 하니까여 ~"
